Customer ID,Customer Status,Date Order was placed,Delivery Date,Order ID,Product ID,Quantity Ordered,Total Retail Price for This Order,Cost Price Per Unit
579,Silver,01-Jan-17,07-Jan-17,123002578,220101400106,2,92.6,20.7
7574,SILVER,01-Jan-17,05-Jan-17,123004074,210201000009,1,21.7,9.95
28861,Gold,01-Jan-17,04-Jan-17,123000871,230100500068,1,1.7,0.8
43796,Gold,01-Jan-17,06-Jan-17,123002851,220100100633,1,47.9,24.05
54673,Gold,01-Jan-17,04-Jan-17,123003607,220200200043,1,36.9,18.3
74503,Silver,01-Jan-17,04-Jan-17,123000487,240200100007,1,24.7,11.8
1870,Silver,02-Jan-17,02-Jan-17,123006324,240100400009,1,65.5,25.6
2351,Silver,02-Jan-17,02-Jan-17,123005769,240600100089,2,44,9.1
3073,Silver,02-Jan-17,02-Jan-17,123008467,240200100215,1,108.7,56.3
5907,Gold,02-Jan-17,06-Jan-17,123008924,220200300083,1,53,26.6
7309,SILVER,02-Jan-17,07-Jan-17,123006398,220200200021,1,64,37.85
9216,Silver,02-Jan-17,02-Jan-17,123009762,220100100108,1,114.2,57.2
9542,Silver,02-Jan-17,06-Jan-17,123009779,220200100226,2,266.4,66.7
12409,Gold,02-Jan-17,02-Jan-17,123005849,240200100047,2,29.6,7.5
12601,Silver,02-Jan-17,07-Jan-17,123009881,240800100075,2,647.2,133.55
14679,Silver,02-Jan-17,07-Jan-17,123009905,240500100046,1,69.8,22.4
16958,GOLD,02-Jan-17,02-Jan-17,123009956,220200200045,3,339,51.45
17705,Silver,02-Jan-17,02-Jan-17,123008541,230100300001,1,12.7,5.75
18363,Silver,02-Jan-17,03-Jan-17,123009987,240800100080,2,423.2,94.25
18432,Silver,02-Jan-17,04-Jan-17,123009996,240600100165,1,22.8,9.75
18802,Gold,02-Jan-17,02-Jan-17,123006561,240500100011,1,39.2,17.85
19121,Silver,02-Jan-17,02-Jan-17,123006600,240800200042,2,95.8,20.9
19669,GOLD,02-Jan-17,02-Jan-17,123008945,230100500095,1,96.9,40
